Workout Number,Week,Day,Beginner Workout,Intermediate Workout,Advanced Workout
11,4,2,"Warmup (5 min walk) | 2.2 min run, 1.9 min walk | 2.2 min run, 1.9 min walk | 2.2 min run, 1.9 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | Cooldown (5 min jog/stretch)"
12,4,3,"Warmup (5 min walk) | 2.2 min run, 1.9 min walk | 2.2 min run, 1.9 min walk | 2.2 min run, 1.9 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | 3.7 min run, 1.4 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | 5.2 min run, 0.25 min sprint (85%), 0.9 min walk | Cooldown (5 min jog/stretch)"
13,5,1,"Warmup (5 min walk) | 2.3 min run, 1.8 min walk | 2.3 min run, 1.8 min walk | 2.3 min run, 1.8 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | Cooldown (5 min jog/stretch)"
14,5,2,"Warmup (5 min walk) | 2.3 min run, 1.8 min walk | 2.3 min run, 1.8 min walk | 2.3 min run, 1.8 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | Cooldown (5 min jog/stretch)"
15,5,3,"Warmup (5 min walk) | 2.3 min run, 1.8 min walk | 2.3 min run, 1.8 min walk | 2.3 min run, 1.8 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | 3.8 min run, 1.3 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | 5.3 min run, 0.25 min sprint (85%), 0.8 min walk | Cooldown (5 min jog/stretch)"
16,6,1,"Warmup (5 min walk) | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | Cooldown (5 min jog/stretch)"
17,6,2,"Warmup (5 min walk) | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | Cooldown (5 min jog/stretch)"
18,6,3,"Warmup (5 min walk) | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | 2.5 min run, 1.8 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | 4.0 min run, 1.3 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | 5.5 min run, 0.25 min sprint (85%), 0.8 min walk | Cooldown (5 min jog/stretch)"
19,7,1,"Warmup (5 min walk) | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | Cooldown (5 min jog/stretch)"
20,7,2,"Warmup (5 min walk) | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | Cooldown (5 min jog/stretch)"
21,7,3,"Warmup (5 min walk) | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | Cooldown (5 min jog/stretch)"
22,8,1,"Warmup (5 min walk) | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | Cooldown (5 min jog/stretch)"
23,8,2,"Warmup (5 min walk) | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | Cooldown (5 min jog/stretch)"
24,8,3,"Warmup (5 min walk) | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | 2.6 min run, 1.7 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | 4.1 min run, 1.2 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | 5.6 min run, 0.25 min sprint (85%), 0.7 min walk | Cooldown (5 min jog/stretch)"
25,9,1,"Warmup (5 min walk) | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | Cooldown (5 min jog/stretch)"
26,9,2,"Warmup (5 min walk) | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | Cooldown (5 min jog/stretch)"
27,9,3,"Warmup (5 min walk) | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | 2.7 min run, 1.6 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | 4.2 min run, 1.1 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | 5.7 min run, 0.25 min sprint (85%), 0.6 min walk | Cooldown (5 min jog/stretch)"
28,10,1,"Warmup (5 min walk) | (4x) 6 min run, 0.5 min walk | Cooldown (5 min walk)","Warmup (5 min walk/jog) | (4x) 8 min run, 0.5 min walk | Cooldown (5 min walk)","Warmup (5 min jog/drills) | (4x) 12 min run, 0.25 min sprint (90%), 0.25 min walk | Cooldown (5 min jog/stretch)"
,,,,,
Event,Suggested Training,,,,
5K Run,Warmup 5 min | Alternating moderate pace and 90% intervals every km | Cooldown 5 min,,,,
10K Run,Warmup 5 min | Moderate intensity with high-intensity sprints every 2 km | Cooldown 5 min,,,,
Half Marathon (21.1 km),"Warmup 5 min | Long run, pace adjustments every 5 km with brief walks | Cooldown 5 min",,,,
Marathon (42.195 km),"Warmup 5 min | Steady long-distance pace, planned hydration/nutrition breaks every 7-9 km | Cooldown 5 min",,,,
